date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:54:32	335/335	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2013%20Nov%202025%2018:54:32%20GMT	http://localhost/urbanBloom	C:/My%20Web%20Sites/urban%20bloom/localhost/urbanBloom.0.delayed	(from )
18:54:33	295/295	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2013%20Nov%202025%2018:54:32%20GMT	http://localhost/robots.txt		(from )
18:54:33	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2013%20Nov%202025%2018:54:32%20GMT	http://localhost/urbanBloom/	C:/My%20Web%20Sites/urban%20bloom/localhost/urbanBloom/index.html	(from )
18:54:39	170109/170109	---MC-	200	added ('OK')	text/html	date:Thu,%2013%20Nov%202025%2018:54:33%20GMT	http://localhost/UrbanBloom/	C:/My%20Web%20Sites/urban%20bloom/localhost/urbanBloom/index.html	(from )
18:54:39	2503/2503	---M--	200	added ('OK')	text/css	etag:%229c7-639df637eab80%22	http://localhost/UrbanBloom/wp-content/themes/twentytwentyfive/style.css?ver=1.3	C:/My%20Web%20Sites/urban%20bloom/localhost/UrbanBloom/wp-content/themes/twentytwentyfive/style4e44.css	(from http://localhost/UrbanBloom/)
18:54:40	53614/53614	---M--	200	added ('OK')	text/css	etag:%22d16e-6436233c62e75%22	http://localhost/UrbanBloom/wp-content/plugins/elementor/assets/css/frontend.min.css?ver=3.32.3	C:/My%20Web%20Sites/urban%20bloom/localhost/UrbanBloom/wp-content/plugins/elementor/assets/css/frontend.min8e60.css	(from http://localhost/UrbanBloom/)
18:54:41	1732/1732	---M--	200	added ('OK')	application/rss+xml	etag:%22e8c49499c72c9823e5f40ff1281a1670%22	http://localhost/UrbanBloom/index.php/feed/	C:/My%20Web%20Sites/urban%20bloom/localhost/UrbanBloom/index.php/feed/index.html	(from http://localhost/UrbanBloom/)
18:54:41	1677/1677	---M--	200	added ('OK')	application/rss+xml	etag:%22e8c49499c72c9823e5f40ff1281a1670%22	http://localhost/UrbanBloom/index.php/comments/feed/	C:/My%20Web%20Sites/urban%20bloom/localhost/UrbanBloom/index.php/comments/feed/index.html	(from http://localhost/UrbanBloom/)
18:54:42	600/600	---M--	200	added ('OK')	text/css	etag:%22258-6436233c97266%22	http://localhost/UrbanBloom/wp-content/plugins/elementor/assets/css/widget-heading.min.css?ver=3.32.3	C:/My%20Web%20Sites/urban%20bloom/localhost/UrbanBloom/wp-content/plugins/elementor/assets/css/widget-heading.min8e60.css	(from http://localhost/UrbanBloom/)
18:54:42	198/198	---M--	200	added ('OK')	text/css	etag:%22c6-6436233e4d235%22	http://localhost/UrbanBloom/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-grow.min.css?ver=3.32.3	C:/My%20Web%20Sites/urban%20bloom/localhost/UrbanBloom/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-grow.min8e60.css	(from http://localhost/UrbanBloom/)
